,0
127,p_religion_Yes - Islam
128,p_job_sector_Not applicable
129,"p_job_sector_Private sector profit-seeking (e.g. public limited company, partnership)"
130,"p_job_sector_Public sector government owned or funded (e.g. civil service, local government, NHS, university)"
131,"p_job_sector_Third sector non-profit, non-governmental (e.g. charity, social enterprise)"
132,p_country_birth_UK
133,p_country_birth_EU: pre-2004
134,p_country_birth_EU: post-2004
135,p_ethnicity_White British
136,p_ethnicity_Any other white background
137,p_scot_const_vote_2016_I would/did not vote
138,p_scot_list_vote_2016_I would/did not vote
139,selfOccSuperviseLastW26W27_Yes
140,selfOccStatusW26W27_An employee
141,parentOccEmployees_Yes
142,parentOccSupervise_Yes
143,parentOccStatus_An employee
144,selfOccSuperviseW26W27_Yes
145,p_parent_Yes
146,gender_Female
147,currentUnionMemberW19_W26_Yes
148,everUnionMemberW19_W26_Yes
149,subjClassSqueezeW27_Working class
150,disabilityChildW26_Yes
151,noDependentsInHouseW26_Yes
152,disabilityCensusW26_Yes
