"","from","to","strength"
"59","al_scale","al3",-55.3387191581839
"60","infoSourceTV","euSources_1",-155.626514912817
"61","britishness","englishness",-137.253643476139
"62","conSupport","labSupport",-40.7635561202741
"63","profile_household_children","schoolChildrenInHousehold",-153.0879343921
"64","UKsovereignty","euRedTape",-76.3855780561889
"65","infoSourcePeople","euSources_5",-149.126977140296
"66","tolUncertain2","locus2",-26.931808489607
"67","lr4","lr_scale",-40.1635639084252
"68","lr3","lr4",-94.0461912533585
"69","ukipUnited","grnUnited",-46.2371572768016
"70","personality_conscientiousness","personality_openness",-72.0325234993343
"71","polKnowMiliband","ns_sec_analytic",-20.9377242482424
"72","al_scale","al4",-142.051431292101
"73","polAttention","efficacyUnderstand",-121.850190453231
"74","euRefInterest","polAttention",-78.5684743850704
"75","lr4","lr2",-46.4444455768355
"76","EUIntegrationLab","EUIntegrationLD",-65.3258871257351
"77","likeOsborne","likeGove",-73.3069956307309
"78","asylumMore","immigSelf",-23.2211573092197
"79","livedAbroad","languageSkills",-29.2446305551829
"80","pccTurnout","pccVote1",-157.088266088352
"81","conSupport","businessSupport",-29.8831377411498
"82","localTurnoutRetro","pccTurnout",-141.676410306961
"83","labUnited","ukipUnited",-30.8193363199605
"84","effectsEUEcon","effectsEUNHS",-39.2393251855533
"85","effectsEUTrade","euLeaveVoice",-50.8300366008179
"86","likeFarron","likeBennett",-63.1698233601339
"87","personality_openness","personality_extraversion",-127.132112327133
"88","effectsEUEcon","effectsEUFinance",-46.8804508820635
"89","neverPrivateSchool","RPrivSchnew_dk",-923.244044215057
"90","privateSecondarySchool","RPrivSchnew_dk",-632.286920186863
"91","privatePrimarySchool","RPrivSchnew_dk",-316.004926534348
"92","livedAbroad","parentsForeign",-57.5330241766951
"93","likeCameron","likeBoris",-20.9227512140806
"94","EUIntegrationCon","EUIntegrationLab",-64.3212370789633
"95","privateSecondarySchool","neverPrivateSchool",-125.620416794424
"96","blackEquality","gayEquality",-94.4450266429976
"97","euLeaveBigBusiness","euLeaveScotIndep",-76.058085894884
"98","education","profile_education_age",-85.4277112287327
"99","euRedTape","euMemberJoin",-17.7799285484064
"100","preschoolChildrenInHousehold","noDependentsInHousehold",-88.4515176560686
"101","gayEquality","femaleEquality",-58.6130349741145
"102","changeNHS","changeEducation",-72.5435561302231
"103","leaveTone","proConLeave",-45.8623833311162
"104","socialDes_none","socialDes_4",-158.19220413412
"105","socialDes_none","socialDes_2",-264.108132148563
"106","privatePrimarySchool","privateSecondarySchool",-106.691886482414
"107","infoSourceInternet","infoSourcePeople",-92.3916905986898
"108","prevJob","Age",-101.098606521137
"109","efficacyUnderstand","efficacyEU",-73.6475609413128
"110","UKsovereignty","euParlOverRide",-55.5468619562691
"111","euParlOverRide","euUndermineIdentity",-29.3988843298805
"112","likeGove","likeAlanJohnson",-69.4117227953534
"113","polAttention","discussPolDays",-46.0349385303357
"114","euLawsLevel","echr",-73.980157180386
"115","livedAbroad","friendsEU",-16.4778820763779
"116","socialDes_none","socialDes_1",-73.2188175763819
"117","lr1","lr3",-95.1739214929516
"118","polKnowMiliband","countryOfBirth",-49.8577899499073
"119","likeCon","changeEconomy",-4.39552689683819
"120","euPreventWar","euCloser",-42.5980925137601
"121","euPreventWar","euUKRich",-90.0202253377452
"122","immigSelf","immigEcon",-29.7196060293265
"123","likeAlanJohnson","likeFarron",-36.1708396398467
"124","profile_past_vote_2005","profile_past_vote_2010",-75.9132001707392
"125","prefTradeoff","beliefTradeoff",-41.264816531331
"126","EUIntegrationCon","EUIntegrationUKIP",-50.0521956815473
"127","profile_turnout_2015","profile_past_vote_2015",-115.073338443566
"128","satDemUK","satDemEU",-84.6170520436324
"129","housing","Age",-60.8141754381982
"130","benefitsToMigrants","childBenefitsRepatriate",-53.0364171635363
"131","likeBennett","likeGrn",-28.2448915115069
"132","immigCon","immigUKIP",-35.0716156941783
"133","effectsEUUnemployment","effectsEUTerror",-25.3170302711653
"134","euRefTurnout","profile_turnout_2015",-36.7927658821692
"135","conSupport","EUIntegrationCon",-52.9366001727294
"136","infoSourcePeople","infoSourceTV",-41.4923321466015
"137","changeImmig","changeCrime",-62.8280571467908
"138","locus2","livedAbroad",-17.5446358378752
"139","lr2","lr5",-19.0398564078168
"140","likeGrn","likeLD",-33.6556866076774
"141","lr4","likeCameron",-42.8215571024546
"142","likeBennett","likeCorbyn",-24.9397734470331
"143","changeEconomy","changeNHS",-32.5305162827126
"144","likeCon","likeLD",-97.5045120911084
"145","likeBoris","likeFarage",-28.8187030980841
"146","euKnow6","euKnow2",-31.1575573445199
"147","likeCameron","satDemUK",-10.4896569915825
"148","euKnow1","euKnow4",-32.4576813238087
"149","workingStatus","prevJob",-58.358568439087
"150","socialDes_1","socialDes_2",-153.944008666914
"151","ukCoopTrade","ukCoopWorkers",-28.2022380410292
"152","immigContributeTake","immigrantsWelfareState",-23.9709960679202
"153","changeCrime","changeCostLive",-38.0756520507957
"154","profile_education_age","edlevel",-23.0567964992372
"155","infoSourcePeople","infoSourceRadio",-19.477511241719
"156","infoSourceTV","infoSourcePaper",-8.95322343874705
"157","euCloser","euLawsLevel",-18.8473313932991
"158","immigrantsWelfareState","ukCoopMovement",-24.1485401847285
"159","ukCoopCAP","franceFairShare",-31.7594281639103
"160","labUnited","ldUnited",-18.7084783459031
"161","euKnow6","euKnow1",-23.3856871074468
"162","likeLab","likeLD",-54.3430799818414
"163","socialDes_none","polKnowMiliband",-23.2900367340017
"164","likeCameron","efficacyPolCare",-11.6686718332076
"165","EUIntegrationSelf","UKsovereignty",-29.0832760725591
"166","euSources_1","euSources_5",-53.382376813818
"167","socialDes_4","socialDes_2",-96.4980725891959
"168","socialDes_3","socialDes_2",-66.4128652462849
"169","leaveTone","campaigninfoLeave",-34.0806963689674
"170","remainTone","proConRemain",-29.6789748165841
"171","immigLD","certaintyEULD",-26.107296242403
"172","partyId","partyIdEU",-42.7647486065416
"173","euSources_5","discussPolDays",-20.5475021738794
"174","tolUncertain3","partyMember",-7.05991090519672
"175","UKsovereignty","ukCoopEuro",-18.5021284712089
"176","socialDes_1","socialDes_4",-58.5268288230636
"177","euKnow1","euKnow5",-18.078496990383
"178","parliamentSupport","conSupport",-71.5166084374057
"179","certaintyEUUKIP","ukipUnited",-24.1324822097176
"180","ldSupport","tuSupport",-14.5392594331951
"181","likeCon","monarch",-14.7098423929747
"182","certaintyEUCon","immigCon",-10.2129500464093
"183","campaigninfoRemain","remainTone",-21.1647079712436
"184","certaintyEULD","certaintyUKLeave",-9.4598914695132
"185","immigrantsWelfareState","changeImmig",-11.9417786423085
"186","effectsEUUnemployment","euLeaveBigBusiness",-10.4324996231476
"187","ldUnited","immigLD",-33.0118716917993
"188","immigLab","socialIdentityGlobalLeave",-8.25516648376106
"189","noneuMore","familiesMore",-11.1042668551784
"190","certaintyEUGreen","EUIntegrationGreen",-25.8018078156424
"191","effectsEUUnemployment","effectsEUTrade",-9.86692812724414
"192","profile_past_vote_2015","generalElectionVote",-14.8109562897898
"193","al1","al3",-34.4358794066783
"194","parentsForeign","languageSkills",-22.5141630949321
"195","euSources_5","euRefInterest",-17.2996629965228
"196","profile_household_children","preschoolChildrenInHousehold",-24.9145251470855
"197","Age","profile_household_size",-45.3493887933496
"198","marital","profile_household_size",-54.355687689568
"199","ldSupport","EUIntegrationLD",-48.7600582773809
"200","euLeaveBigBusiness","betterDealEU",-12.236537851029
"201","likeCameron","conUnited",-32.4101700724498
"202","Age","socialDesScale",-40.5430065346941
"203","socialDesScale","personality_agreeableness",-24.1955850943939
"204","monarch","britishness",-25.1164058536856
"205","lr3","lr2",-30.3502449782997
"206","euSources_1","euSources_2",-44.3451299352174
"207","polKnowMiliband","profile_religion_denom",-3.05270531764154
"208","al3","al5",-21.5688270982024
"209","socialIdentityGlobalRemain","normEU",-19.1633128292519
"210","infoSourceTV","euSources_99",-9.74472540443259
"211","certaintyEUUKIP","immigLab",-12.0853123331119
"212","effectsEUEcon","effectsEUWorkers",-89.7832364680328
"213","likeLab","likeGrn",-12.8267522479116
"214","euCloser","euMore",-14.5746045957951
"215","certaintyEUGreen","immigGreen",-33.6270084635642
"216","immigCon","conUnited",-11.4082180370517
"217","britainFairShare","ldSupport",-15.6459660229482
"218","euKnow1","euKnow3",-5.22359207928741
"219","euLeaveVoice","UKsovereignty",-10.1190554503796
"220","UKsovereignty","euUndermineIdentity",-15.0283084276714
"221","likeFarron","ldUnited",-17.2606165617797
"222","likeGrn","grnUnited",-16.9733722793931
"223","proConRemain","proConLeave",-31.5743107531055
"224","englishness","countryOfBirth",-34.1877965163826
"225","likeFarron","likeLD",-33.7124560429315
"226","likeLab","labUnited",-25.879849790671
"227","profile_gross_personal","workingStatus",-36.1148054293706
"228","infoSourceTV","polAttention",-24.3840851808618
"229","euSources_5","euSources_4",-30.7161630402089
"230","infoSourceTV","euSources_2",-18.2775072393451
"231","socialIdentityGlobalLeave","leaveTone",-8.6906181636682
"232","euSources_1","euSources_3",-5.8553556899235
"233","noneuMore","asylumMore",-16.0167841285877
"234","likeCon","likeCorbyn",-49.8171422253852
"235","bestPM","likeCorbyn",-31.5383174607337
"236","likeOsborne","EUIntegrationCon",-3.6218053527989
"237","ldSupport","cabinetSupport",-20.0377672090347
"238","certaintyUKRemain","euLeaveBigBusiness",-15.4897012374392
"239","certaintyEUUKIP","certaintyEULab",-24.7633644170099
"240","likeCon","profile_past_vote_2015",-22.0858490814876
"241","betterDealEU","leaveImpactSelf",-7.82029088520085
"242","profile_religion","profile_religion_denom",-22.5910390082561
"243","certaintyEULab","EUIntegrationLab",-21.6384376357835
"244","ukCoopEuro","ukCoopMovement",-16.1164629766854
"245","tolUncertain3","locus2",-30.9680150654583
"246","euSources_2","profile_newspaper_readership_201",-39.935297044628
"247","parliamentSupport","businessSupport",-5.53520981343229
"248","infoSourcePeople","euSources_4",-16.2019724479707
"249","effectsEUWorkers","euLeaveVoice",-12.4923778808563
"250","leaveTone","remainTone",-25.2256275990026
"251","likeCon","partyId",-22.9647713316465
"252","euUKRich","effectsEUUnemployment",-7.65150654002764
"253","immigLD","partyIdEU",-0.334975784663811
"254","socialDes_3","socialDes_4",-33.1891368738568
"255","likeCon","lr_scale",-16.991364842987
"256","effectsEUTrade","ukCoopTrade",-11.9309339452548
"257","euSources_1","euSources_111",-11.834087882574
"258","likeFarage","likeGove",-8.06039544871737
"259","euCloser","europeanness",-6.34299931651731
"260","immigLD","immigSelf",-5.45497693947323
"261","EUIntegrationUKIP","EUIntegrationSelf",-13.8110948932563
"262","cabinetSupport","euKnow6",-7.79290529132811
"263","effectsEUWorkers","ukCoopWorkers",-10.8012622010223
"264","EUIntegrationLD","likeFarron",-21.4385613833681
"265","asylumMore","immigCultural",-7.79909272494979
"266","UKsovereignty","prefTradeoff",-1.62165766161502
"267","euUKRich","euCloser",-26.5674428134159
"268","euUKRich","satDemEU",-4.13954365607708
"269","al1","blackEquality",-2.84818841580727
"270","profile_ethnicity","parentsForeign",-22.0114795416263
"271","tolUncertain3","parentsForeign",-0.93133381975349
"272","immigrantsWelfareState","benefitsToMigrants",-1.35342066514181
"273","profile_ethnicity","profile_religion",-24.1796711318989
"274","lr1","lr4",-25.0629043772224
"275","EUIntegrationCon","polAttention",-6.43316764666906
"276","ldSupport","labSupport",-23.5545261563989
"277","familiesMore","immigSelf",-7.87337814047214
"278","effectsEUUnemployment","effectsEUImmigration",-36.6447173573554
"279","euUKRich","euRedTape",-11.2224966483259
"280","noneuMore","studentsMore",-24.0838250908484
"281","Age","infoSourceTV",-12.9943425920017
"282","infoSourceInternet","infoSourceTV",-27.1986998658494
"283","tolUncertain1","tolUncertain2",-14.6772543724483
"284","effectsEUTrade","leaveTone",-5.77451138516153
"285","Age","profile_past_vote_2005",-24.0701337489761
"286","tolUncertain1","locus1",-23.8363592203086
"287","workingStatus","disability",-26.0635763039147
"288","polAttention","EUMIICategory",-1.25406654850758
"289","polAttention","euKnow2",-5.65918614288898
"290","euUndermineIdentity","immigContributeTake",-5.71465649592142
"291","ukipUnited","ldUnited",-38.9536871203989
"292","EUIntegrationCon","betterDealEU",-1.69547938176743
"293","euMore","immigEcon",-19.0150510363842
"294","effectsEUEcon","euUndermineIdentity",-7.96538835066917
"295","euParlOverRide","immigrantsWelfareState",-5.76856702839859
"296","discussPolDays","socialIdentityGlobalLeave",-14.5168122085665
"297","likeLab","partyId",-12.9976105625706
"298","partyIdEU","euRefExpectation",-8.40293181197649
"299","lr1","lr5",-12.0263742316783
"300","Age","profile_education_age",-31.0477438662249
"301","certaintyEUUKIP","certaintyEULD",-14.2397331856448
"302","conUnited","ukipUnited",-19.5721933625639
"303","gender","al4",-14.4931975771744
"304","likeCameron","bestPM",-16.292775389328
"305","ldUnited","grnUnited",-26.3278909059095
"306","euUndermineIdentity","euRefFinal",-11.7329427496153
"307","infoSourceTV","infoSourceRadio",-9.9619282624667
"308","likeCameron","regSatisfaction",-1.41057387661272
"309","lr4","efficacyPolCare",-5.41288225262815
"310","labSupport","EUIntegrationLab",-29.2064731534849
"311","ukCoopMovement","euMemberJoin",-5.6564780147653
"312","polAttention","likeAlanJohnson",-1.8375857720705
"313","lr2","lr_scale",-19.1398793155058
"314","effectsEUUnemployment","leaveImpactSelf",-4.27007666506029
"315","ldSupport","infoSourceInternet",-2.23002672795042
"316","polAttention","profile_turnout_2015",-8.86673402664331
"317","euUKRich","britainFairShare",-8.62333036707582
"318","euKnow2","euKnow3",-9.21937247438859
"319","asylumMore","al2",-1.27600294137119
"320","euLeaveVoice","effectsEUFinance",-6.23558568933117
"321","polAttention","infoSourcePaper",-1.09862363612456
"322","generalElectionVote","bestOnMII",-4.69000687346715
"323","englishness","profile_ethnicity",-7.27593861896889
"324","likeCon","changeNHS",-22.8804973023038
"325","immigSelf","immigrantsWelfareState",-3.69527113353092
"326","ukCoopCAP","EUIntegrationSelf",-10.6428711612375
"327","profile_past_vote_2015","profile_past_vote_2010",-17.2533768106673
"328","econGenRetro","tolUncertain1",-17.6222226051425
"329","euKnow2","euKnow5",-10.5081009654424
"330","polAttention","europeanness",-13.521542163013
"331","ukCoopMovement","blackEquality",-9.76895805684035
"332","tuSupport","partyIdEU",-1.55507623541246
"333","personality_neuroticism","locus2",-16.6189637014636
"334","personality_openness","personality_neuroticism",-21.1806063059942
"335","EUIntegrationCon","certaintyEUCon",-13.7106376572
"336","leaveImpactSelf","efficacyEU",-8.80875766700956
"337","euPreventWar","UKsovereignty",-7.53238841556868
"338","profile_past_vote_2015","pccVote1",-16.4144634921067
"339","franceFairShare","euKnow1",-6.72990679358747
"340","EUIntegrationSelf","ukCoopEuro",-5.44919977324696
"341","riskTaking","personality_openness",-16.2011064908918
"342","echr","satDemEU",-1.49338303918103
"343","cabinetSupport","certaintyUKLeave",-6.93917392522985
"344","certaintyEUUKIP","euRefInterest",-11.7422110795731
"345","euRefInterest","euRefTurnout",-24.8049515612661
"346","Age","pccTurnout",-13.8094757919164
"347","socialIdentityGlobalRemain","euLeaveScotIndep",-6.45461713862301
"348","countryOfBirth","livedAbroad",-27.2687643294327
"349","al2","al4",-15.4083617077551
"350","EUIntegrationCon","EUIntegrationLD",-27.9980563221013
"351","EUIntegrationLab","conUnited",-3.64131053129699
"352","labSupport","immigCon",-9.92435347714218
"353","al1","monarch",-11.2951492115219
"354","polAttention","partyContact1",-6.07032774148809
"355","childBenefitsRepatriate","neverPrivateSchool",-12.0371976047534
"356","euUndermineIdentity","campaigninfoLeave",-9.90869647194381
"357","likeCameron","housing",-15.2342868473336
"358","personality_agreeableness","personality_openness",-17.9910326507327
"359","euSources_4","certaintyEUUKIP",-6.62062656205831
"360","polAttention","euKnow6",-3.32032395828435
"361","likeAlanJohnson","likeCorbyn",-8.42826605393179
"362","locus2","friendsEU",-4.93706661451677
"363","conSupport","EUIntegrationLD",-13.8552427428569
"364","franceFairShare","parliamentSupport",-11.0108037947055
"365","localTurnoutRetro","gor",-14.0864010437067
"366","immigContributeTake","changeImmig",-6.94639991168378
"367","euPreventWar","euLawsLevel",-7.60759402393091
"368","education","edlevel",-12.3245714049383
"369","euCloser","satDemUK",-7.45879843518014
"370","asylumMore","conSupport",-12.7353292072892
"371","effectsEUTrade","ukCoopCAP",-8.87645919746205
"372","conSupport","likeGove",-7.67329111656704
"373","likeBoris","likeGove",-14.5993186168955
"374","riskTaking","personality_neuroticism",-9.5781362666828
"375","euUKRich","euLeaveBigBusiness",-5.06668002479523
"376","EUIntegrationCon","immigLab",-8.74426414634263
"377","al2","education",-5.43337308917262
"378","prefTradeoff","immigrantsWelfareState",-30.2926041985154
"379","englishness","childBenefitsRepatriate",-5.11744242527868
"380","euCloser","certaintyUKRemain",-12.9472544930845
"381","profile_household_children","noDependentsInHousehold",-12.9701702810276
"382","UKsovereignty","euMemberJoin",-5.04478918321752
"383","ukCoopWorkers","euParlOverRide",-6.84309875320423
"384","euSources_2","euSources_3",-17.3817535370222
"385","infoSourcePaper","euSources_3",-6.76628840768001
"386","proConLeave","likeBoris",-9.00697702061098
"387","profile_turnout_2015","registered",-12.462464702436
"388","workingStatus","riskTaking",-11.3568626402538
"389","partyMember","livedAbroad",-6.72516655750906
"390","ukCoopCAP","ukCoopMovement",-3.38197391098402
"391","immigEcon","immigContributeTake",-2.14045590881415
"392","immigGreen","immigUKIP",-17.7266893109258
"393","immigContributeTake","likeUKIP",-5.61148847244817
"394","locus1","tolUncertain2",-13.1047503413928
"395","euLeaveScotIndep","leaveImpactBritain",-3.84146135160381
"396","euUndermineIdentity","euRedTape",-6.68969459818868
"397","tolUncertain2","languageSkills",-11.998529746761
"398","euLawsLevel","euMore",-13.5153213869671
"399","effectsEUEcon","franceFairShare",-9.71183648399801
"400","germanyFairShare","britainFairShare",-16.9027579843976
"401","euMore","britainFairShare",-9.92908057271666
"402","immigrantsWelfareState","englishness",-4.25344348584235
"403","likeGrn","generalElectionVote",-5.76205383538331
"404","effectsEUTrade","effectsEUNHS",-1.33062178491377
"405","lr1","echr",-4.45300363250863
"406","changeEconomy","econGenRetro",-14.5933250850131
"407","lr4","changeCostLive",-8.78093621784672
"408","businessSupport","euRefExpectation",-6.46864427841092
"409","immigLD","efficacyEU",-8.76923547378328
"410","infoSourceTV","euSources_5",-6.95868005973057
"411","immigCon","likeFarage",-2.48680996830717
"412","immigLD","bestOnMII",-3.00130187568584
"413","asylumMore","likeBennett",-7.08480641307779
"414","polKnowOsborne","livedAbroad",-9.91832169741224
"415","euSources_99","euSources_111",-9.96645227241925
"416","profile_gross_personal","gender",-5.00559603883011
"417","ldSupport","betterDealEU",-3.14018210771792
"418","euSources_1","euRefInterest",-8.04175062683134
"419","riskTaking","locus2",-6.31069936083691
"420","likeCon","EUIntegrationSelf",-10.406870658378
"421","ukCoopEuro","childBenefitsRepatriate",-7.15999421158392
"422","al1","al5",-7.46339862825971
"423","euRefTurnout","pccTurnout",-8.89686603646351
"424","Age","headHouseholdPast",-7.28172097207528
"425","euKnow5","euKnow4",-8.35730681822952
"426","ldUnited","euRefCertainty",-3.36196149555508
"427","immigCultural","changeImmig",-14.6499842683984
"428","euUKRich","ldSupport",-6.9453047567556
"429","immigCultural","al1",-3.86498143954384
"430","effectsEUWorkers","turkey",-10.2071903143035
"431","profile_education_age","subjClass",-6.28440768824635
"432","grnUnited","EUIntegrationGreen",-5.19639940258185
"433","euUndermineIdentity","benefitsToMigrants",-7.14880360537882
"434","beliefTradeoff","al_scale",-2.9176529827887
"435","Age","euSources_1",-7.17535404954992
"436","discussPolDays","friendsEU",-9.41050898256469
"437","ukCoopEuro","monarch",-8.22448152762968
"438","parliamentSupport","labSupport",-17.0164644128112
"439","monarch","satDemUK",-2.55453177985851
"440","polAttention","immigEcon",-4.44044788386896
"441","euRefInterest","partyIdEU",-0.440195598875448
"442","euCloser","asylumMore",-7.52377494758821
"443","EUIntegrationLD","certaintyEULD",-11.7429237566099
"444","conSupport","euSources_5",-6.35870148240826
"445","gor","pccVote1",-9.4385188692338
"446","immigEcon","ukCoopMovement",-3.92177014071876
"447","certaintyEULab","efficacyUnderstand",-4.56964355996183
"448","britishness","euRefTurnout",-8.76657274965555
"449","beliefTradeoff","tolUncertain1",-12.1139233231197
"450","likeBennett","bestPM",-6.79072375113662
"451","certaintyEUCon","immigGreen",-4.60875019420791
"452","EUIntegrationSelf","socialIdentityGlobalLeave",-8.90547639312308
"453","euRefInterest","ukCoopEuro",-7.51212789804447
"454","ukCoopTrade","ukCoopEuro",-4.52119028323489
"455","socialIdentityGlobalLeave","certaintyUKLeave",-1.29245454407828
"456","infoSourcePeople","euSources_99",-6.83757651292331
"457","discussPolDays","likeFarron",-6.62035402484025
"458","euRefInterest","al2",-7.17078671999184
"459","certaintyEUUKIP","polAttention",-4.61150195497339
"460","RPrivSchnew_dk","polKnowOsborne",-10.277615917742
"461","effectsEUTrade","businessSupport",-4.49262681271205
"462","immigSelf","benefitsToMigrants",-4.86018283795488
"463","campaigninfoLeave","efficacyEU",-9.37876525841239
"464","polAttention","partyMember",-8.04415902293454
"465","marital","profile_gross_household",-9.45701631121028
"466","lr_scale","femaleEquality",-9.00620137937176
"467","euUndermineIdentity","europeanness",-0.920256815366884
"468","immigLab","certaintyEULD",-6.00152487582989
"469","euRedTape","profile_ethnicity",-2.75285006988224
"470","englishness","socialIdentityGlobalRemain",-2.45120626809739
"471","socialDesScale","sickOrElderlyInHousehold",-6.34863671441985
"472","certaintyEUGreen","infoSourceRadio",-4.33759886670236
"473","languageSkills","education",-5.99825823229094
"474","changeImmig","changeCostLive",-15.1620236193116
"475","Age","changeCostLive",-6.28713938003614
"476","euLeaveScotIndep","leaveImpactSelf",-2.19976726357618
"477","efficacyPolCare","changeCrime",-5.31689678179418
"478","franceFairShare","euKnow2",-2.78837604148271
"479","monarch","parentsForeign",-6.56705686239064
"480","leaveImpactSelf","euKnow1",-6.77786771981266
"481","EUIntegrationLab","euKnow5",-3.50423141395106
"482","euSources_5","education",-5.56516941442624
"483","euLeaveBigBusiness","euRefFinal",-5.79484193120595
"484","euUKRich","normEU",-3.34193949651103
"485","likeGove","grnUnited",-7.92215072805584
"486","euKnow6","ldUnited",-7.63899436789779
"487","likeCon","euRefInterest",-4.84326020048911
"488","al2","profile_education_age",-5.52951097160121
"489","ldSupport","conUnited",-7.41557611148687
"490","ldSupport","proConRemain",-2.86589092124746
"491","polAttention","leaveTone",-0.971988011787289
"492","likeAlanJohnson","likeBennett",-7.15761082943231
"493","satDemEng","changeEconomy",-5.34429426509723
"494","euRefTurnout","profile_past_vote_2005",-5.3239940085316
"495","likeFarage","profile_newspaper_readership_201",-9.71529818652243
"496","polKnowMiliband","tolUncertain1",-7.84333477125438
"497","ukCoopTrade","campaigninfoLeave",-6.78244142032941
"498","immigGreen","al4",-11.2538914032527
"499","immigrantsWelfareState","beliefTradeoff",-33.3069481682235
"500","euCloser","beliefTradeoff",-8.77185734759155
"501","lr3","disability",-3.06077581589034
"502","profile_turnout_2015","partyId",-12.6960096822083
"503","germanyFairShare","immigContributeTake",-8.62402070284929
"504","euCloser","infoSourceInternet",-5.89172422198999
"505","lr3","subjClass",-3.91658207977207
"506","EUIntegrationCon","likeAlanJohnson",-4.04398892280483
"507","euCloser","socialIdentityGlobalRemain",-1.17178571995669
"508","effectsEUWorkers","effectsEUFinance",-4.39496881307036
"509","campaigninfoRemain","satDemUK",-5.3398880805596
"510","immigUKIP","immigSelf",-5.83609340447902
"511","euLawsLevel","effectsEUUnemployment",-4.01847127813562
"512","euSources_111","discussPolDays",-7.69602150549531
"513","locus1","partyMember",-4.19140099657443
"514","neverPrivateSchool","changeImmig",-7.2860744800771
"515","likeCameron","betterDealEU",-7.1564528807744
"516","marital","al4",-1.44176911241402
"517","likeCon","labUnited",-9.36617010887335
"518","blackEquality","femaleEquality",-7.29279290165391
"519","tolUncertain3","riskTaking",-8.96844535507216
"520","EUIntegrationUKIP","immigCon",-6.28057051136307
"521","likeGove","euKnow6",-3.80815974507823
"522","immigCon","changeImmig",-3.60718927620906
"523","campaigninfoLeave","proConLeave",-3.33466181132962
"524","Age","personality_agreeableness",-10.6751216963632
"525","ukCoopTrade","certaintyEULab",-6.17405326399307
"526","likeAlanJohnson","polKnowBercow",-5.29946546959854
"527","euRefInterest","prefTradeoff",-2.86260545212167
"528","socialDes_dk","polKnowClegg",-5.51578220768477
"529","ukCoopTrade","euUndermineIdentity",-5.46952826054712
"530","certaintyEULab","certaintyUKRemain",-9.46757599652665
"531","polKnowBercow","polKnowClegg",-6.90133915866511
"532","al5","childBenefitsRepatriate",-4.42999618157342
"533","immigContributeTake","britishness",-3.92684793390208
"534","infoSourceInternet","infoSourcePaper",-4.37656315438767
